timestamp,demand_kw
2024-01-01 00:00:00,185.3
2024-01-01 01:00:00,172.1
2024-01-01 02:00:00,165.8
2024-01-01 03:00:00,160.2
2024-01-01 04:00:00,158.9
2024-01-01 05:00:00,162.4
2024-01-01 06:00:00,198.7
2024-01-01 07:00:00,312.5
2024-01-01 08:00:00,445.2
2024-01-01 09:00:00,512.8
2024-01-01 10:00:00,548.3
2024-01-01 11:00:00,561.9
2024-01-01 12:00:00,558.4
2024-01-01 13:00:00,542.1
2024-01-01 14:00:00,535.6
2024-01-01 15:00:00,528.3
2024-01-01 16:00:00,521.7
2024-01-01 17:00:00,538.2
2024-01-01 18:00:00,572.4
2024-01-01 19:00:00,589.1
2024-01-01 20:00:00,581.3
2024-01-01 21:00:00,562.8
2024-01-01 22:00:00,498.5
2024-01-01 23:00:00,321.4
2024-01-02 00:00:00,188.1
2024-01-02 01:00:00,174.5
2024-01-02 02:00:00,167.3
2024-01-02 03:00:00,161.8
2024-01-02 04:00:00,159.4
2024-01-02 05:00:00,164.2
2024-01-02 06:00:00,201.3
2024-01-02 07:00:00,318.9
2024-01-02 08:00:00,451.7
2024-01-02 09:00:00,518.4
2024-01-02 10:00:00,554.1
2024-01-02 11:00:00,567.8
2024-01-02 12:00:00,564.2
2024-01-02 13:00:00,547.8
2024-01-02 14:00:00,541.3
2024-01-02 15:00:00,534.2
2024-01-02 16:00:00,527.4
2024-01-02 17:00:00,543.8
2024-01-02 18:00:00,578.1
2024-01-02 19:00:00,594.7
2024-01-02 20:00:00,586.9
2024-01-02 21:00:00,568.3
2024-01-02 22:00:00,503.1
2024-01-02 23:00:00,326.8
2024-01-03 00:00:00,182.4
2024-01-03 01:00:00,170.2
2024-01-03 02:00:00,163.5
2024-01-03 03:00:00,158.1
2024-01-03 04:00:00,156.7
2024-01-03 05:00:00,161.0
2024-01-03 06:00:00,196.5
2024-01-03 07:00:00,148.3
2024-01-03 08:00:00,152.1
2024-01-03 09:00:00,165.4
2024-01-03 10:00:00,178.9
2024-01-03 11:00:00,182.3
2024-01-03 12:00:00,179.8
2024-01-03 13:00:00,175.2
2024-01-03 14:00:00,172.6
2024-01-03 15:00:00,169.4
2024-01-03 16:00:00,167.8
2024-01-03 17:00:00,171.3
2024-01-03 18:00:00,198.4
2024-01-03 19:00:00,210.7
2024-01-03 20:00:00,204.5
2024-01-03 21:00:00,192.3
2024-01-03 22:00:00,178.1
2024-01-03 23:00:00,195.6
2024-01-04 00:00:00,186.9
2024-01-04 01:00:00,173.4
2024-01-04 02:00:00,166.1
2024-01-04 03:00:00,160.7
2024-01-04 04:00:00,159.1
2024-01-04 05:00:00,163.5
2024-01-04 06:00:00,199.8
2024-01-04 07:00:00,314.2
2024-01-04 08:00:00,447.9
2024-01-04 09:00:00,515.1
2024-01-04 10:00:00,550.7
2024-01-04 11:00:00,564.3
2024-01-04 12:00:00,560.8
2024-01-04 13:00:00,544.5
2024-01-04 14:00:00,537.9
2024-01-04 15:00:00,531.0
2024-01-04 16:00:00,524.3
